Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,87.876999,96.742996,84.949997,91.787003,91.787003,661654000
2021-02-01,92.678497,107.634003,92.546501,101.843002,101.843002,588580000
2021-03-01,102.825996,106.440498,100.500000,103.431503,103.431503,695884000
2021-04-01,104.897499,122.618896,104.844498,120.505997,120.505997,614494000
2021-05-01,120.136002,122.147202,111.502502,120.578003,120.578003,509114000
2021-06-01,121.099998,127.795998,119.141502,125.316002,125.316002,548656000
2021-07-01,124.849747,140.011002,124.849747,135.220993,135.220993,456776000
2021-08-01,135.484497,146.489502,134.183502,145.462006,145.462006,372312000
2021-09-01,145.649994,146.820496,133.000000,133.265503,133.265503,505198000
2021-10-01,133.554504,149.117996,131.166504,148.270493,148.270493,496572000
2021-11-01,148.164993,151.850006,142.065994,142.451996,142.451996,443172000
2021-12-01,144.212494,149.604996,140.250000,144.679504,144.679504,479260000
